id,occurrenceID,catalogNumber,datasetName,recordNumber,otherCatalogNumbers,basisOfRecord,eventDate,locality,country,decimalLatitude,decimalLongitude,geodeticDatum,year,sex,lifeStage,recordedBy,individualCount,taxonId,scientificName,scientificNameAuthorship,taxonRank,genus,family,order,class,kingdom,coordinateUncertaintyInMeters,dynamicProperties
00075b7f-3920-4987-a3e4-e98568a38558,00075b7f-3920-4987-a3e4-e98568a38558,CAM040599,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2017-03-07,Mashpi to Pachijal 2,Ecuador,0.18085,-78.85322,4326,2017,Male,,,1,,Heliconius cydno ssp. alithea,,Subspecies,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
000dc8ca-5d60-4aff-9823-33d20d52c7cd,000dc8ca-5d60-4aff-9823-33d20d52c7cd,CAM040277,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2017-01-30,Km 119 Baeza - Lago Agrio,Ecuador,-0.178,-77.68167,4326,2017,Female,,,1,,Actinote sp.,,Species,Actinote,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
001b4619-bfe3-4a89-9709-45a70c1fa380,001b4619-bfe3-4a89-9709-45a70c1fa380,CAM120368,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2005-11-15,Anangu Boca del Rio ECD OR,Ecuador,-0.5287,-76.3948,4326,2005,Female,,,1,,Pseudoscada timna ssp. utilla,,Subspecies,Pseudoscada,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0021e86f-64b3-4ce8-b872-f783f00f5f6a,0021e86f-64b3-4ce8-b872-f783f00f5f6a,CAM014638,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2009-11-23,Puerta Lara,Panamá,8.61355,-78.13982,4326,2009,,,,1,,Heliconius melpomene ssp. melpomene,,Subspecies,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0034a857-9ed6-45be-b437-8e20eef541bb,0034a857-9ed6-45be-b437-8e20eef541bb,CAM008071,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2000-12-17,Gamboa #183,Panamá,9.116,-79.698,4326,2000,Unknown,,,1,1902692,Anthanassa drusilla,,Species,Anthanassa,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0035c9af-54d7-49f7-b2dc-c3fe16edf94a,0035c9af-54d7-49f7-b2dc-c3fe16edf94a,CAM008465,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2001-09-03,"Quebrada Hornito Trail, Fortuna,",Panamá,8.6928,-82.2245,4326,2001,Female,,,1,1895200,Greta nero,,Species,Greta,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0040aeef-2be9-4197-b230-d9add1fbf342,0040aeef-2be9-4197-b230-d9add1fbf342,CAM008536,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2002-02-18,"Machay protected area,",Ecuador,-1.42,-78.287,4326,2002,Male,,,1,,Heliconius sp.,,Species,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
00417708-328b-4fc9-8654-6eacb4be80f1,00417708-328b-4fc9-8654-6eacb4be80f1,CAM000291,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,1998-05-22,"La Desiree, near Cayenne",French Guiana,4.85,-52.3333,4326,1998,Male,,,1,1900408,Heliconius wallacei,,Species,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0071e7a4-6cb0-4bca-85f5-25165fc1bdd1,0071e7a4-6cb0-4bca-85f5-25165fc1bdd1,CAM040617,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2017-03-07,Mashpi to Pachijal 2,Ecuador,0.18085,-78.85322,4326,2017,Male,,,1,,Heliconius eleuchia ssp. primularis,,Subspecies,Heliconius,,,,,,{}
009298ae-378f-4720-b95f-976c78767d83,009298ae-378f-4720-b95f-976c78767d83,CAM018033,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2011-03-20,Puerta Lara,Panamá,8.61355,-78.13982,4326,2011,,,,1,,Heliconius erato ssp. hydara,,Subspecies,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
009423b6-dbc8-4706-a628-03c18e3610f7,009423b6-dbc8-4706-a628-03c18e3610f7,CAM120015,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,,"San Francisco, casa de Arcoiris, km 23 Loja-Zamora rd.",Ecuador,-3.9883,-79.93,4326,,Female,,,1,1894935,Napeogenes flossina,,Species,Napeogenes,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0099bd96-869b-47c0-baac-58750e7e6d5c,0099bd96-869b-47c0-baac-58750e7e6d5c,CAM008923,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,,"Puente Rio Serranoyacu, above Rioja,",Peru,-5.6745,-77.6748,4326,,Male,,,1,,Ithomia salapia ssp. derasa,,Subspecies,Ithomia,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
00aa20f6-bc67-4d92-9424-278d37c67e90,00aa20f6-bc67-4d92-9424-278d37c67e90,CAM008147,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2001-05-23,Km 119 Baeza - Lago Agrio,Ecuador,-0.178,-77.68167,4326,2001,Male,,,1,1900251,Heliconius hierax,,Species,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
00abb829-3055-40d9-8874-49f4d91910f2,00abb829-3055-40d9-8874-49f4d91910f2,CAM000492,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,1998-06-18,"Parcela 33, Villeta - Guaduas 23.6km",Colombia,5.658,-74.5619,4326,1998,Male,,,1,,Heliconius cydno ssp. chioneus,,Subspecies,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
00f3c39a-03d5-426b-a5a9-c30f73e52a1a,00f3c39a-03d5-426b-a5a9-c30f73e52a1a,CAM040327,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2017-02-03,"Mashpi Road, P20",Ecuador,0.15615,-78.86355,4326,2017,Female,,,1,,Heliconius cydno ssp. alithea,,Subspecies,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
011b685b-703e-4d5e-86c8-e410ba3b47a6,011b685b-703e-4d5e-86c8-e410ba3b47a6,CAM120390,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2005-11-16,Anangu Boca del Rio ECD OR,Ecuador,-0.5287,-76.3948,4326,2005,Male,,,1,,Mechanitis mazaeus ssp. mazaeus,,Subspecies,Mechanitis,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
01245a7c-ddae-4ab3-8825-564335c4f1d0,01245a7c-ddae-4ab3-8825-564335c4f1d0,CAM011439,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,,"El Topo, Baños - Puyo road,",Ecuador,-1.39801,-78.17813,4326,,Female,,,1,1900725,Heliconius timareta,,Species,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0160484f-3243-4d50-9f22-627b59f98d37,0160484f-3243-4d50-9f22-627b59f98d37,CAM008595,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2002-08-17,"Pongo de Cainarache - Baranquita, Km 7.2,",Peru,-6.2897,-76.2289,4326,2002,Unknown,,,1,5131626,Eueides lybia,,Species,Eueides,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
016fe2f8-fd35-4122-93a1-cdcc2c755c98,016fe2f8-fd35-4122-93a1-cdcc2c755c98,CAM120700,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2005-12-05,Anangu Boca del Rio ECD OR,Ecuador,-0.5287,-76.3948,4326,2005,Female,,,1,,Mechanitis mazaeus ssp. mazaeus,,Subspecies,Mechanitis,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
017992ff-5366-4f3c-ac07-4cf3a05c80fa,017992ff-5366-4f3c-ac07-4cf3a05c80fa,CAM120609,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2005-11-29,Anangu Boca del Rio ECD OR,Ecuador,-0.5287,-76.3948,4326,2005,Female,,,1,,Mechanitis mazaeus ssp. mazaeus,,Subspecies,Mechanitis,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
018b5344-a46c-4a2d-b25b-8f1185d8ad39,018b5344-a46c-4a2d-b25b-8f1185d8ad39,CAM120017,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,,"Loma Kilamo , Macas",Ecuador,-2.35,-78.145,4326,,Male,,,1,1895018,Napeogenes glycera,,Species,Napeogenes,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0197df20-4dff-4f50-9446-cf16ddd56e24,0197df20-4dff-4f50-9446-cf16ddd56e24,CAM008355,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2001-08-31,"Quebrada Hornito Trail, Fortuna,",Panamá,8.6928,-82.2245,4326,2001,Female,,,1,1908146,Ithomia heraldica,,Species,Ithomia,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
019bd69f-f991-4b33-8b73-d832e05bd4fa,019bd69f-f991-4b33-8b73-d832e05bd4fa,CAM008150,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2001-05-23,Km 119 Baeza - Lago Agrio,Ecuador,-0.178,-77.68167,4326,2001,Male,,,1,1900251,Heliconius hierax,,Species,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
01afbb58-6d0a-4820-a22a-52f49e29f797,01afbb58-6d0a-4820-a22a-52f49e29f797,CAM040183,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2017-01-23,"San Pedro de Arajuno, trail",Ecuador,-1.09759,-77.5893,4326,2017,Male,,,1,,Heliconius melpomene ssp. malleti,,Subspecies,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
01b2664a-1740-4f0a-b16f-aeed3afbfdf5,01b2664a-1740-4f0a-b16f-aeed3afbfdf5,CAM040141,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2017-01-18,Finca el Escondite,Colombia,0.79536,-76.58573,4326,2017,Female,,,1,,Heliconius erato ssp. lativitta,,Subspecies,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
